cleaned_text,label
"['o', 'tiada', 'ku', 'gelisahakan', 'jelang', 'jalan', 'yesusmaka', 'hati', 'tenang', 'nyanyi', 'lagu', 'ku', 'esok', 'bagi', 'ken', 'nangissoalnya', 'nyanyi', 'melakukannyamaaf', 'tuhan', 'khawatir']",negatif
"['kendali', 'cemas', 'mudah', 'dengar']",negatif
"['pandemi', 'gabuka', 'laptop', 'hari', 'asa', 'gelisah', 'ky', 'beban', 'hidup', 'berat', 'banget']",negatif
"['orang', 'gelisah', 'takut', 'sentuh', 'wajah', 'bunyi', 'jarijari', 'tangan']",netral
"['tau', 'ga', 'rek', 'ngeroso', 'akeh', 'pikir', 'tp', 'mbo', 'opo', 'seng', 'pikir', 'rasane', 'gelisah', 'ae']",negatif
"['asikk', 'udah', 'libur', 'sekolah']",positif
"['bangun', 'siang', 'senin', 'senang']",positif
"['bangun', 'tdr', 'neng', 'bgt', 'soalna', 'abis', 'mimpi', 'nyium', 'tangan', 'harry', 'pas', 'konser']",positif
"['senin', 'tuh', 'bahagia']",positif
"['mimpiin', 'hehehe', 'neng']",positif
"['neng', 'banget', 'dream', 'million', 'seller', 'hebat']",positif
"['bangga', 'bgt', 'dreamies', 'mrk', 'neng', 'bgt']",positif
